Qu1,Qu2,Similarity
Would you support the introduction of an opt-out solution of for organ donation?,Should the current moratorium on genetically modified plants and animals in Swiss agriculture be extended beyond 2021?,tensor(0.2842)
Should the current moratorium on genetically modified plants and animals in Swiss agriculture be extended beyond 2021?,Do you support an expansion of the legal possibilities for using DNA analysis in investigations? ,tensor(0.2841)
Do you support cantonal efforts to reduce social welfare benefits?,"Should the federal government spend more or less in the area of ""National defence""?",tensor(0.2839)
"Are you in favour of introducing ""Road Pricing"" for motorised individual transport on busy roads?",Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,tensor(0.2839)
Should campaign finance for political parties and referendums be openly declared?,Are you in favour of lowering the voting age to 16?,tensor(0.2836)
Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,tensor(0.2835)
Do you support an increase in the retirement age (e.g. to 67)?,Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,tensor(0.2835)
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,Should married couples be taxed separately (individual taxation)?,tensor(0.2835)
Are you in favour of stricter monitoring of pay equity for women and men? ,Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,tensor(0.2834)
Should cannabis use be legalized?,Should campaign finance for political parties and referendums be openly declared?,tensor(0.2834)
Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,"Should the federal government spend more or less in the area of ""Education and research""?",tensor(0.2833)
"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""","What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",tensor(0.2833)
An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?,Should the federal government provide more support for the construction of non-profit housing? ,tensor(0.2832)
Should cannabis use be legalized?,Should the export of war materials from Switzerland be banned? ,tensor(0.2831)
Would you support the introduction of an opt-out solution of for organ donation?,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.2830)
Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,Should investment controls be introduced in order to better protect Swiss companies from takeovers by foreign investors?,tensor(0.2828)
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,tensor(0.2825)
Should cannabis use be legalized?,Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?,tensor(0.2824)
An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?,"Do you support the relaxation of the current measures to protect large predators (lynx, wolves, bears)?",tensor(0.2819)
Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",tensor(0.2817)
Do you support cantonal efforts to reduce social welfare benefits?,"Do you support the relaxation of the current measures to protect large predators (lynx, wolves, bears)?",tensor(0.2817)
An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,tensor(0.2816)
"What is your position the following statement: ""Wealthy individuals should contribute more to the funding of the state.""",Should the requirements for naturalization be increased?,tensor(0.2816)
Should insured persons contribute more to healthcare costs (e.g. by increasing the minimal deductible)?,"Are you in favour of introducing ""Road Pricing"" for motorised individual transport on busy roads?",tensor(0.2815)
Should the requirements for naturalization be increased?,Should the rules for reproductive medicine be further relaxed?,tensor(0.2812)
Should the federal government provide more support for the construction of non-profit housing? ,"Should online brokerage services (e.g. ""Airbnb"" accommodations, ""Uber"" taxi services) be regulated more strongly?",tensor(0.2810)
Should married couples be taxed separately (individual taxation)?,Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,tensor(0.2809)
Do you support an increase in the retirement age (e.g. to 67)?,Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?,tensor(0.2809)
Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",tensor(0.2808)
Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,"Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.2808)
Should cannabis use be legalized?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",tensor(0.2803)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should the Federal Council's proposal to tighten the conditions for admission to the civil service be abandoned?,tensor(0.2802)
Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,tensor(0.2801)
An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?,"Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.2801)
Should same-sex couples have the same rights as heterosexual couples in all areas?,Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,tensor(0.2800)
Should cannabis use be legalized?,Are you in favour of a complete liberalisation of business hours for shops?,tensor(0.2798)
Should the federal government expand its financial support for continued education and retraining?,Are you in favour of stricter monitoring of pay equity for women and men? ,tensor(0.2798)
Should insured persons contribute more to healthcare costs (e.g. by increasing the minimal deductible)?,"Should the federal government spend more or less in the area of ""National defence""?",tensor(0.2798)
Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,"Should the federal government spend more or less in the area of ""Public security""?",tensor(0.2796)
"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,tensor(0.2795)
Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,tensor(0.2794)
Should married couples be taxed separately (individual taxation)?,"Should the federal government spend more or less in the area of ""Social services""?",tensor(0.2794)
"In your opinion, is lowering taxes at the federal level a priority for the next four years?","What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",tensor(0.2790)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Are you in favor of further tightening the asylum law?,tensor(0.2789)
Should married couples be taxed separately (individual taxation)?,"Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.2789)
Do you support an increase in the retirement age (e.g. to 67)?,An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?,tensor(0.2789)
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",tensor(0.2788)
Should the rules for reproductive medicine be further relaxed?,Should direct payments only be granted to farmers that provide an extended ecological performance record (e.g. no synthetic pesticides and limited use of antibiotics)?,tensor(0.2786)
Would you support the introduction of an opt-out solution of for organ donation?,Should the requirements for naturalization be increased?,tensor(0.2785)
Should married couples be taxed separately (individual taxation)?,Should direct payments only be granted to farmers that provide an extended ecological performance record (e.g. no synthetic pesticides and limited use of antibiotics)?,tensor(0.2784)
Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,"Should online brokerage services (e.g. ""Airbnb"" accommodations, ""Uber"" taxi services) be regulated more strongly?",tensor(0.2782)
Should direct payments only be granted to farmers that provide an extended ecological performance record (e.g. no synthetic pesticides and limited use of antibiotics)?,"Should the federal government spend more or less in the area of ""Public transport""?",tensor(0.2781)
Should same-sex couples have the same rights as heterosexual couples in all areas?,"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",tensor(0.2781)
"Currently, a CO2 charge is levied on fossil combustibles (e.g. heating oil, natural gas). Should this charge be extended to motor fuels (e.g. petrol, diesel)?","Are you in favour of introducing ""Road Pricing"" for motorised individual transport on busy roads?",tensor(0.2780)
Should the federal government provide more financial support for the creation of childcare facilities outside the family?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",tensor(0.2779)
Are you in favour of a complete liberalisation of business hours for shops?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,tensor(0.2779)
Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,tensor(0.2776)
Should cannabis use be legalized?,"Should the federal government spend more or less in the area of ""National defence""?",tensor(0.2775)
Are you in favour of stricter monitoring of pay equity for women and men? ,"Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.2773)
Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?,tensor(0.2773)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,"Should the federal government spend more or less in the area of ""Public transport""?",tensor(0.2772)
An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?,"In your opinion, is lowering taxes at the federal level a priority for the next four years?",tensor(0.2769)
Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?,Should direct payments only be granted to farmers that provide an extended ecological performance record (e.g. no synthetic pesticides and limited use of antibiotics)?,tensor(0.2769)
"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",Should the expansion of the mobile network according to the 5G standard continue?,tensor(0.2768)
Would you support the introduction of an opt-out solution of for organ donation?,Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?,tensor(0.2768)
Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,"Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.2767)
Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,"Should the federal government spend more or less in the area of ""Public security""?",tensor(0.2767)
An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?,"Should the federal government spend more or less in the area of ""Public transport""?",tensor(0.2766)
Do you support an expansion of the legal possibilities for using DNA analysis in investigations? ,"Should the federal government spend more or less in the area of ""Education and research""?",tensor(0.2766)
An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?,"Should the federal government spend more or less in the area of ""National defence""?",tensor(0.2763)
Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?,"Should the federal government spend more or less in the area of ""Public transport""?",tensor(0.2762)
Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?,Should the Federal Council's proposal to tighten the conditions for admission to the civil service be abandoned?,tensor(0.2762)
Do you support cantonal efforts to reduce social welfare benefits?,"Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.2761)
Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?,An initiative wants to give the federal government more powers to introduce measures to reduce healthcare costs (Introduction of a cost barrier). Do you support this proposal?,tensor(0.2761)
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,"Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.2757)
Should the Federal Council's proposal to tighten the conditions for admission to the civil service be abandoned?,Should Switzerland start membership negotiations with the EU?,tensor(0.2755)
Do you support an increase in the retirement age (e.g. to 67)?,Are you in favor of further tightening the asylum law?,tensor(0.2755)
Should the requirements for naturalization be increased?,Should the federal government provide more support for renewable energies?,tensor(0.2754)
Should campaign finance for political parties and referendums be openly declared?,Should the export of war materials from Switzerland be banned? ,tensor(0.2753)
Are you in favour of stricter monitoring of pay equity for women and men? ,"Should the federal government spend more or less in the area of ""Public security""?",tensor(0.2750)
Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,tensor(0.2746)
Should the protection against dismissal for older employees be extended?,Should the Federal Council's proposal to tighten the conditions for admission to the civil service be abandoned?,tensor(0.2743)
Should cannabis use be legalized?,"Should the federal government spend more or less in the area of ""Public security""?",tensor(0.2743)
Should the current moratorium on genetically modified plants and animals in Swiss agriculture be extended beyond 2021?,"Should the federal government spend more or less in the area of ""Education and research""?",tensor(0.2743)
Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?,"Should the federal government spend more or less in the area of ""Public transport""?",tensor(0.2743)
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",Should the requirements for naturalization be increased?,tensor(0.2739)
Do you support an increase in the retirement age (e.g. to 67)?,Should the federal government provide more financial support for the creation of childcare facilities outside the family?,tensor(0.2733)
Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,"Should the federal government spend more or less in the area of ""National defence""?",tensor(0.2733)
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,Are you in favour of lowering the voting age to 16?,tensor(0.2732)
Should the requirements for naturalization be increased?,Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,tensor(0.2732)
Are you in favour of lowering the voting age to 16?,Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,tensor(0.2730)
Should the federal government provide more support for the integration of foreigners?,"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",tensor(0.2729)
An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",tensor(0.2728)
"Do you support the relaxation of the current measures to protect large predators (lynx, wolves, bears)?",Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,tensor(0.2727)
Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,Do you support an expansion of the legal possibilities for using DNA analysis in investigations? ,tensor(0.2723)
Would you support the introduction of an opt-out solution of for organ donation?,Should the introduction of electronic voting in elections and referendums (e-voting) be further pursued?,tensor(0.2723)
Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?,Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?,tensor(0.2723)
Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,Should the federal government provide more support for renewable energies?,tensor(0.2723)
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""","Do you support the relaxation of the current measures to protect large predators (lynx, wolves, bears)?",tensor(0.2722)
"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""","Should the federal government spend more or less in the area of ""Social services""?",tensor(0.2718)
"Do you support the relaxation of the current measures to protect large predators (lynx, wolves, bears)?","Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",tensor(0.2718)
An initiative calls for the introduction of paid paternity leave for four weeks. Do you support this proposal?,Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,tensor(0.2717)
Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",tensor(0.2716)
"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?","Do you support the relaxation of the current measures to protect large predators (lynx, wolves, bears)?",tensor(0.2716)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should campaign finance for political parties and referendums be openly declared?,tensor(0.2712)
Should the federal government provide more support for the integration of foreigners?,Should insured persons contribute more to healthcare costs (e.g. by increasing the minimal deductible)?,tensor(0.2711)
"In your opinion, is lowering taxes at the federal level a priority for the next four years?",Should direct payments only be granted to farmers that provide an extended ecological performance record (e.g. no synthetic pesticides and limited use of antibiotics)?,tensor(0.2710)
Should the requirements for naturalization be increased?,"Should the federal government spend more or less in the area of ""Education and research""?",tensor(0.2708)
Should the federal government provide more support for the construction of non-profit housing? ,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.2707)
Should the federal government provide more support for the construction of non-profit housing? ,Should Switzerland strive for a free trade agreement with the USA?,tensor(0.2704)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,tensor(0.2704)
Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,"Should the federal government spend more or less in the area of ""Public security""?",tensor(0.2702)
Do you support an increase in the retirement age (e.g. to 67)?,Should sans-papiers be able to obtain a regularized residence status more easily?,tensor(0.2701)
Should investment controls be introduced in order to better protect Swiss companies from takeovers by foreign investors?,"Should online brokerage services (e.g. ""Airbnb"" accommodations, ""Uber"" taxi services) be regulated more strongly?",tensor(0.2700)
Should campaign finance for political parties and referendums be openly declared?,Are you in favour of Switzerland's candidacy for a seat on the UN Security Council? ,tensor(0.2699)
"Should online brokerage services (e.g. ""Airbnb"" accommodations, ""Uber"" taxi services) be regulated more strongly?",An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.2699)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,"Should the federal government spend more or less in the area of ""Public security""?",tensor(0.2699)
"Are you in favour of schools granting/allowing exemptions from individual subjects or events for religious reasons (e.g. PE/swimming, sex education, etc.)?","Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",tensor(0.2699)
Should cannabis use be legalized?,Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,tensor(0.2698)
Should the federal government provide more support for the integration of foreigners?,Do you support an increase in the retirement age (e.g. to 67)?,tensor(0.2697)
Should the requirements for naturalization be increased?,Should Switzerland start membership negotiations with the EU?,tensor(0.2696)
Should the federal government provide more support for the integration of foreigners?,Should the introduction of electronic voting in elections and referendums (e-voting) be further pursued?,tensor(0.2695)
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,"Should the federal government spend more or less in the area of ""Road traffic (motorised individual transport)""?",tensor(0.2694)
Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?,Should campaign finance for political parties and referendums be openly declared?,tensor(0.2694)
"What is your position the following statement: ""Wealthy individuals should contribute more to the funding of the state.""",Should direct payments only be granted to farmers that provide an extended ecological performance record (e.g. no synthetic pesticides and limited use of antibiotics)?,tensor(0.2691)
Should foreigners who have lived in Switzerland for at least ten years be given the right to vote and be elected at the municipal level?,Should the Federal Council's proposal to tighten the conditions for admission to the civil service be abandoned?,tensor(0.2690)
Are you in favour of stricter monitoring of pay equity for women and men? ,Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,tensor(0.2689)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,"Should online brokerage services (e.g. ""Airbnb"" accommodations, ""Uber"" taxi services) be regulated more strongly?",tensor(0.2685)
Should the rules for reproductive medicine be further relaxed?,Are you in favour of stricter monitoring of pay equity for women and men? ,tensor(0.2685)
Should the requirements for naturalization be increased?,"What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",tensor(0.2685)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Is limiting immigration more important to you than maintaining the bilateral treaties with the EU?,tensor(0.2685)
Should the export of war materials from Switzerland be banned? ,"Should the federal government spend more or less in the area of ""National defence""?",tensor(0.2684)
Should the federal government expand its financial support for continued education and retraining?,Should the expansion of the mobile network according to the 5G standard continue?,tensor(0.2684)
Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.2683)
Are you in favour of a complete liberalisation of business hours for shops?,Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,tensor(0.2682)
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,"Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.2680)
Do you support cantonal efforts to reduce social welfare benefits?,Should the export of war materials from Switzerland be banned? ,tensor(0.2679)
Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,An initiative calls for liability rules for Swiss companies with regard to compliance with human rights and environmental standards abroad to be tightened. Do you support this proposal?,tensor(0.2677)
Should cannabis use be legalized?,"Should online brokerage services (e.g. ""Airbnb"" accommodations, ""Uber"" taxi services) be regulated more strongly?",tensor(0.2677)
Should the current moratorium on genetically modified plants and animals in Swiss agriculture be extended beyond 2021?,"Should the federal government spend more or less in the area of ""Development assistance""?",tensor(0.2676)
An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?,Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,tensor(0.2675)
Are you in favor of further tightening the asylum law?,An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,tensor(0.2674)
Are you in favour of introducing a general minimum wage of CHF 4'000 for all employees for full-time employment?,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",tensor(0.2672)
Should the federal government expand its financial support for continued education and retraining?,Are you in favor of further tightening the asylum law?,tensor(0.2669)
Should investment controls be introduced in order to better protect Swiss companies from takeovers by foreign investors?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",tensor(0.2668)
"Should Switzerland terminate the Schengen Agreement with the EU, in order to reintroduce more security checks directly on the border?",Should the Federal Council's proposal to tighten the conditions for admission to the civil service be abandoned?,tensor(0.2668)
Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,tensor(0.2667)
"In your opinion, is lowering taxes at the federal level a priority for the next four years?","Should online brokerage services (e.g. ""Airbnb"" accommodations, ""Uber"" taxi services) be regulated more strongly?",tensor(0.2667)
Should the federal government provide more support for the integration of foreigners?,Are you in favour of Switzerland acquiring new fighter jets for the armed forces?,tensor(0.2667)
Should cannabis use be legalized?,Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,tensor(0.2666)
Should married couples be taxed separately (individual taxation)?,Should campaign finance for political parties and referendums be openly declared?,tensor(0.2666)
Should the federal government provide more support for the construction of non-profit housing? ,Should sans-papiers be able to obtain a regularized residence status more easily?,tensor(0.2666)
Should the federal government provide more support for the construction of non-profit housing? ,Should foreigners who have lived in Switzerland for at least ten years be given the right to vote and be elected at the municipal level?,tensor(0.2664)
Should the federal government provide more support for the integration of foreigners?,Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,tensor(0.2663)
"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""","Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.2663)
"Are you in favour of schools granting/allowing exemptions from individual subjects or events for religious reasons (e.g. PE/swimming, sex education, etc.)?",Should the requirements for naturalization be increased?,tensor(0.2663)
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,Should the introduction of electronic voting in elections and referendums (e-voting) be further pursued?,tensor(0.2661)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Are you in favour of lowering the voting age to 16?,tensor(0.2660)
Do you support an increase in the retirement age (e.g. to 67)?,"Should the federal government spend more or less in the area of ""Education and research""?",tensor(0.2660)
Should the government increase its efforts to support equal education opportunities (e.g. through vouchers for private tutoring for students from low-income families)?,Should the current moratorium on genetically modified plants and animals in Swiss agriculture be extended beyond 2021?,tensor(0.2659)
"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures."".""","What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",tensor(0.2658)
Should the conversion rate of the occupational pension fund be reduced in order to adjust for increases in life expectancy?,Are you in favour of stricter monitoring of pay equity for women and men? ,tensor(0.2656)
Are you in favour of stricter monitoring of pay equity for women and men? ,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",tensor(0.2655)
Should the protection against dismissal for older employees be extended?,Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,tensor(0.2653)
"Are you in favour of schools granting/allowing exemptions from individual subjects or events for religious reasons (e.g. PE/swimming, sex education, etc.)?",Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?,tensor(0.2650)
Should sans-papiers be able to obtain a regularized residence status more easily?,Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,tensor(0.2649)
Do you support cantonal efforts to reduce social welfare benefits?,Should campaign finance for political parties and referendums be openly declared?,tensor(0.2648)
Are you in favour of restricting competition between the cantons with regard to corporate tax rates?,Are you in favour of a complete liberalisation of business hours for shops?,tensor(0.2648)
An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?,Would you be in favour of a doctor being allowed to administer direct active euthanasia in Switzerland?,tensor(0.2644)
Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,Should the Federal Council's proposal to tighten the conditions for admission to the civil service be abandoned?,tensor(0.2642)
Are you in favour of stricter monitoring of pay equity for women and men? ,Should campaign finance for political parties and referendums be openly declared?,tensor(0.2641)
"Are you in favour of schools granting/allowing exemptions from individual subjects or events for religious reasons (e.g. PE/swimming, sex education, etc.)?","Are you in favour of introducing ""Road Pricing"" for motorised individual transport on busy roads?",tensor(0.2638)
Should the federal government provide more support for the integration of foreigners?,An initiative calls for health insurance subsidies to be designed so that no one needs to spend more than ten percent of their disposable income on health insurance premiums. Do you support this proposal?,tensor(0.2637)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",tensor(0.2636)
An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,Are you in favour of extending landscape protection (e.g. stricter rules for building outside existing building zones)?,tensor(0.2636)
"Are you in favour of schools granting/allowing exemptions from individual subjects or events for religious reasons (e.g. PE/swimming, sex education, etc.)?",Should direct payments only be granted to farmers that provide an extended ecological performance record (e.g. no synthetic pesticides and limited use of antibiotics)?,tensor(0.2635)
Would you support the introduction of an opt-out solution of for organ donation?,Should direct payments only be granted to farmers that provide an extended ecological performance record (e.g. no synthetic pesticides and limited use of antibiotics)?,tensor(0.2635)
Should insured persons contribute more to healthcare costs (e.g. by increasing the minimal deductible)?,Should the federal government expand its financial support for continued education and retraining?,tensor(0.2635)
Should the federal government provide more support for the construction of non-profit housing? ,Are you in favour of stricter monitoring of pay equity for women and men? ,tensor(0.2635)
"Should online brokerage services (e.g. ""Airbnb"" accommodations, ""Uber"" taxi services) be regulated more strongly?",Are you in favour of lowering the voting age to 16?,tensor(0.2633)
"In your opinion, is lowering taxes at the federal level a priority for the next four years?",Do you support a further reduction in contributions paid by financially strong cantons to financially weak cantons within the framework of financial equalisation (NFA)?,tensor(0.2632)
Should insured persons contribute more to healthcare costs (e.g. by increasing the minimal deductible)?,"Should the federal government spend more or less in the area of ""Education and research""?",tensor(0.2632)
Are you in favor of further tightening the asylum law?,"Should the federal government provide more support for public services (e.g. public transport, post offices) in rural regions?",tensor(0.2630)
Should the federal government provide more support for the integration of foreigners?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,tensor(0.2630)
Are you in favour of stricter monitoring of pay equity for women and men? ,"Should the federal government spend more or less in the area of ""Education and research""?",tensor(0.2629)
Should insured persons contribute more to healthcare costs (e.g. by increasing the minimal deductible)?,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",tensor(0.2629)
Should private households be free to choose their electricity supplier (complete liberalisation of the electricity market)?,"Should the federal government spend more or less in the area of ""Public security""?",tensor(0.2628)
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,"Should the federal government spend more or less in the area of ""Agriculture""?",tensor(0.2627)
Should the federal government provide more support for the construction of non-profit housing? ,An initiative calls for Switzerland to stop using fossil fuels by 2050. Do you support this proposal?,tensor(0.2626)
