Qu1,Qu2,Distance,Type
Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,0.5543486943933267,Real-Symmetric
Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],0.5545398354423308,Real-Symmetric
"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?","Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?",0.5546380679173191,Real-Symmetric
Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,0.5547787228644215,Real-Symmetric
Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],0.5547824832023924,Real-Symmetric
"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?","Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",0.5548183662883943,Real-Symmetric
Should the federal government provide more financial support for public housing construction? [BePart question],Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,0.5548499500784431,Real-Symmetric
Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?",0.5548513465990823,Real-Symmetric
Do you support tax cuts at the federal level over the next four years?,Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],0.5550514424170503,Real-Symmetric
Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",0.5550643285638108,Real-Symmetric
"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?","What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",0.5550700198500549,Real-Symmetric
Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",0.555092247522227,Real-Symmetric
"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,0.5551953207450925,Real-Symmetric
Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.5552777655476772,Real-Symmetric
Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],Are you in favor of closer relations with the European Union (EU)?,0.5553198420308111,Real-Symmetric
"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?",Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,0.5553788725387183,Real-Symmetric
"Do you support an increase in the retirement age (e.g., to 67)?",Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,0.5554343554958369,Real-Symmetric
Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],"What is your position the following statement: ""It is best for a child, when one parent stays home full-time for childcare.""",0.5554464815936769,Real-Symmetric
"Are you in favor of expanding the army's target number of soldiers to at least 120,000?","Should the federal government spend more or less in the area of ""National defence""?",0.5554769566354911,Real-Symmetric
"Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?",Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],0.555661488076198,Real-Symmetric
Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,0.5556889479818541,Real-Symmetric
Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",0.5557127597702431,Real-Symmetric
"Should insured persons contribute more to health care costs (e.g., increase the minimum deductible)?",Do you support tax cuts at the federal level over the next four years?,0.5558082112016339,Real-Symmetric
Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,Do you support tax cuts at the federal level over the next four years?,0.5558202219059593,Real-Symmetric
Should married couples be taxed separately (individual taxation)? [BePart question],Should Switzerland terminate the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons?,0.5559179064775397,Real-Symmetric
Should the federal government allocate more funding for health insurance premium subsidies?,Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],0.5560927522397932,Real-Symmetric
"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?","Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",0.5561358388271945,Real-Symmetric
"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,0.5561921035982456,Real-Symmetric
Do you think it's right for same-sex couples to have the same rights as heterosexual couples in all areas?,"Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",0.5561967116987407,Real-Symmetric
"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",Should cannabis use be legalized? [BePart question],0.5562340037585404,Real-Symmetric
Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,"Should the federal government spend more or less in the area of ""Public transport""?",0.5562676501956363,Real-Symmetric
"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]",Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,0.5563515431163043,Real-Symmetric
Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",0.556396430811894,Real-Symmetric
Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",0.5564197838371107,Real-Symmetric
Should the federal government provide more financial support for public housing construction? [BePart question],"Are you in favor of expanding the army's target number of soldiers to at least 120,000?",0.5564565253743124,Real-Symmetric
Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],0.556508580658353,Real-Symmetric
"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",Should the construction of new nuclear power plants in Switzerland be allowed again?,0.5565700553197025,Real-Symmetric
Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,"Should the federal government spend more or less in the area of ""Development assistance""?",0.5565759453924523,Real-Symmetric
Should cannabis use be legalized? [BePart question],"Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",0.5565804432242145,Real-Symmetric
"Do you support an increase in the retirement age (e.g., to 67)?",Should the federal government allocate more funding for health insurance premium subsidies?,0.5566287390795147,Real-Symmetric
Are you in favor of closer relations with the European Union (EU)?,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",0.5567180378941712,Real-Symmetric
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,0.5567676064731117,Real-Symmetric
"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?","Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",0.5568432890728865,Real-Symmetric
"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?","What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",0.5570428833676295,Real-Symmetric
"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]",Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],0.5570522994549102,Real-Symmetric
Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?",0.5570902831909684,Real-Symmetric
Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],"A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?",0.5570921020654627,Real-Symmetric
Should cannabis use be legalized? [BePart question],"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",0.5571185285720041,Real-Symmetric
Should the federal government allocate more funding for health insurance premium subsidies?,Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,0.5571703080516561,Real-Symmetric
Should cannabis use be legalized? [BePart question],Do you think it's right for same-sex couples to have the same rights as heterosexual couples in all areas?,0.5573562038047273,Real-Symmetric
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Are you in favor of stricter controls on equal pay for women and men?,0.5573935252240287,Real-Symmetric
"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],0.5574138424247146,Real-Symmetric
Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,0.557513599828592,Real-Symmetric
Are you in favor of stricter controls on equal pay for women and men?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.5575381889435307,Real-Symmetric
Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",0.5576287316832604,Real-Symmetric
Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,Should the construction of new nuclear power plants in Switzerland be allowed again?,0.5576428409160314,Real-Symmetric
Should the federal government raise the requirements for the gymnasiale matura?,"Should the federal government spend more or less in the area of ""Public security""?",0.5576518193328384,Real-Symmetric
"Should insured persons contribute more to health care costs (e.g., increase the minimum deductible)?","Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",0.5577672432457284,Real-Symmetric
Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,Should the construction of new nuclear power plants in Switzerland be allowed again?,0.5578003697719285,Real-Symmetric
"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,0.5578057125757836,Real-Symmetric
Are you in favor of closer relations with the European Union (EU)?,Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],0.5579870170053649,Real-Symmetric
"Should insured persons contribute more to health care costs (e.g., increase the minimum deductible)?",Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,0.5580580483463138,Real-Symmetric
Do you support tax cuts at the federal level over the next four years?,"Should the federal government spend more or less in the area of ""National defence""?",0.558170932191163,Real-Symmetric
Are you in favor of stricter controls on equal pay for women and men?,Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,0.5582878502306942,Real-Symmetric
"Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?","What is your position the following statement: ""The ongoing digitalization offers significantly more opportunities than risks.""",0.5583460331891104,Real-Symmetric
Are you in favor of stricter controls on equal pay for women and men?,"What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",0.5583817940173325,Real-Symmetric
Should the federal government provide more financial support for public housing construction? [BePart question],Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,0.5584695317795102,Real-Symmetric
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,0.5585511731547359,Real-Symmetric
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",0.5586543550492803,Real-Symmetric
Should the federal government raise the requirements for the gymnasiale matura?,"Should the federal government spend more or less in the area of ""Public transport""?",0.5586768668699489,Real-Symmetric
"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],0.5588074388785753,Real-Symmetric
"A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?",Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,0.5588081855261782,Real-Symmetric
Should the state guarantee a comprehensive public service offering also in rural regions?,Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,0.5590568703399431,Real-Symmetric
"Are you in favor of expanding the army's target number of soldiers to at least 120,000?","Should the federal government spend more or less in the area of ""Public security""?",0.5590958905896801,Real-Symmetric
Should cannabis use be legalized? [BePart question],Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,0.5591270195463786,Real-Symmetric
Should married couples be taxed separately (individual taxation)? [BePart question],"What is your position the following statement: ""It is necessary for the State to balance out differences in income and wealth through redistribution"".",0.5592297754429242,Real-Symmetric
Do you think it's right for same-sex couples to have the same rights as heterosexual couples in all areas?,"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]",0.5592619627217532,Real-Symmetric
Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],Are you in favor of stricter controls on equal pay for women and men?,0.5592956401429263,Real-Symmetric
Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,0.5593252660709874,Real-Symmetric
Should cannabis use be legalized? [BePart question],"Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?",0.5594957445134522,Real-Symmetric
Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,0.5595533757867154,Real-Symmetric
"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?","Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",0.5595777687521335,Real-Symmetric
"Should insured persons contribute more to health care costs (e.g., increase the minimum deductible)?","Should the federal government spend more or less in the area of ""Public security""?",0.559652112803769,Real-Symmetric
"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,0.5596794834127272,Real-Symmetric
"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,0.559745614651824,Real-Symmetric
Would you be in favor of the introduction of increasing electricity tariffs when consumption is higher (progressive electricity tariffs)?,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,0.559812696331876,Real-Symmetric
Should married couples be taxed separately (individual taxation)? [BePart question],Should Switzerland terminate the Schengen agreement with the EU and reintroduce more security checks directly on the border? [BePart question],0.5598559224889229,Real-Symmetric
Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,Are you in favour of lowering the voting age to 16?,0.5598695497479617,Real-Symmetric
Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,"A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?",0.5598767890944174,Real-Symmetric
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,"Are you in favor of expanding the army's target number of soldiers to at least 120,000?",0.5601505380336605,Real-Symmetric
Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,"Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",0.5601965045164825,Real-Symmetric
Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,Should the differences between cantons with high and low financial capacity be further reduced through fiscal equalization?,0.5602901282793497,Real-Symmetric
Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,0.5602967239090749,Real-Symmetric
Should compulsory vaccination of children be introduced based on the Swiss vaccination plan?,Should foreign nationals who have lived in Switzerland for at least ten years be granted the right to vote and stand for election at the municipal level?,0.5603216163927616,Real-Symmetric
Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,"Should the federal government spend more or less in the area of ""Agriculture""?",0.560424897749155,Real-Symmetric
"Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?","Are you in favor of expanding the army's target number of soldiers to at least 120,000?",0.5604980660166116,Real-Symmetric
Are you in favor of the introduction of a tax on foods containing sugar (sugar tax)?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.5605396443076762,Real-Symmetric
"Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]","Are you in favor of expanding the army's target number of soldiers to at least 120,000?",0.5605430469980355,Real-Symmetric
"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?","What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",0.5605450673356632,Real-Symmetric
Should direct payments only be granted to farmers with proof of ecological performance?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.5605878117197542,Real-Symmetric
Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",0.5606081194765618,Real-Symmetric
"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",Do you think it's right for same-sex couples to have the same rights as heterosexual couples in all areas?,0.5606082257979599,Real-Symmetric
"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?","Should the federal government spend more or less in the area of ""Development assistance""?",0.5606327855006543,Real-Symmetric
Should cannabis use be legalized? [BePart question],Should Switzerland return to a strict interpretation of neutrality (renounce economic sanctions to a large extent)? [BePart question],0.5606800944496538,Real-Symmetric
Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],Do you think it's right for same-sex couples to have the same rights as heterosexual couples in all areas?,0.5607211277434081,Real-Symmetric
"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,0.560915622975254,Real-Symmetric
Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,Should cannabis use be legalized? [BePart question],0.5609284806655417,Real-Symmetric
"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?","Are you in favour of government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates)? [BePart question]",0.5610046644033906,Real-Symmetric
"Should insured persons contribute more to health care costs (e.g., increase the minimum deductible)?","A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?",0.5611147247277828,Real-Symmetric
Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],Are you in favor of closer relations with the European Union (EU)?,0.5611529645743429,Real-Symmetric
Should cannabis use be legalized? [BePart question],"Should the Federal Council be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)? [BePart question]",0.5611938570824263,Real-Symmetric
"To achieve climate targets, should incentives and target agreements be relied on exclusively, rather than bans and restrictions?",Would you support a ban on single-use plastic and non-recyclable plastics? [BePart question],0.5612293302472356,Real-Symmetric
Should 30% of Switzerland's land area be dedicated to preserving biodiversity? [BePart question],"Should the federal government spend more or less in the area of ""Agriculture""?",0.5612405877290533,Real-Symmetric
Should the federal government be given additional powers in the area of digitization of government services in order to be able to impose binding directives and standards on the cantons?,"Should the federal government spend more or less in the area of ""Development assistance""?",0.5612624648309386,Real-Symmetric
"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?","Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",0.5612632082126241,Real-Symmetric
Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,Should the Swiss mobile network be equipped throughout the country with the latest technology (currently 5G standard)?,0.561304092689163,Real-Symmetric
"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,0.5613864897539803,Real-Symmetric
Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,"What is your position the following statement: ""Someone who is not guilty, has nothing to fear from state security measures.""",0.5613864897539803,Real-Symmetric
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",0.5614499782112804,Real-Symmetric
Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.5614598511891794,Real-Symmetric
"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?","Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?",0.5615904129554946,Real-Symmetric
"Do you support an increase in the retirement age (e.g., to 67)?",Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,0.5616992973598971,Real-Symmetric
Are you in favor of closer relations with the European Union (EU)?,"What is your position the following statement: ""Stronger environmental protection is necessary, even if its application limits economic growth.""",0.5617651908256803,Real-Symmetric
Should the federal government raise the requirements for the gymnasiale matura?,"Should the federal government spend more or less in the area of ""National defence""?",0.5617901243404493,Real-Symmetric
Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",0.5618004157238974,Real-Symmetric
Should the federal government raise the requirements for the gymnasiale matura?,Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,0.5618707528128832,Real-Symmetric
Would you be in favour of doctors being allowed to administer direct active euthanasia in Switzerland?,Should it be possible to hold a referendum on federal spending above a certain amount (optional financial referendum)?,0.5619154117635652,Real-Symmetric
Should cannabis use be legalized? [BePart question],Should the construction of new nuclear power plants in Switzerland be allowed again?,0.5619678099023601,Real-Symmetric
"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%). Are you in favor of this measure?",Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,0.5620556241673978,Real-Symmetric
"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",Should busy sections of highways be widened?,0.5621503166892037,Real-Symmetric
"Are you in favor of stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation)?","What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",0.5621558302079848,Real-Symmetric
Do you support efforts to house asylum seekers in centers outside Europe during the asylum procedure?,"Are you in favor of introducing a minimum wage of CHF 4,000 for all full-time employees?",0.5621628280577958,Real-Symmetric
"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes. Do you approve of this concept?",Should the construction of new nuclear power plants in Switzerland be allowed again?,0.5621635702488785,Real-Symmetric
"Do you support an increase in the retirement age (e.g., to 67)?","Should the federal government spend more or less in the area of ""Social services""?",0.5621848813176725,Real-Symmetric
Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,"What is your position the following statement: ""In the long term, everyone benefits from a free market economy in the long term.""",0.5621921968714476,Real-Symmetric
Should the federal government allocate more funding for health insurance premium subsidies?,Are you in favor of stricter controls on equal pay for women and men?,0.5621963317075601,Real-Symmetric
"Should the state be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families)?",Are you in favour of lowering the voting age to 16?,0.5622131888016108,Real-Symmetric
"Should a third official gender be introduced alongside ""female"" and ""male""?",Should married couples be taxed separately (individual taxation)? [BePart question],0.5622231543930696,Real-Symmetric
Should the federal government raise the requirements for the gymnasiale matura?,Should more qualified workers from non-EU/EFTA countries be allowed to work in Switzerland (increase third-country quota)?,0.5622424489723198,Real-Symmetric
"Do you support an increase in the retirement age (e.g., to 67)?","What is your position the following statement: ""Punishing criminals is more important than reintegrating them into society.""",0.5622507178750211,Real-Symmetric
Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,0.5623732529999069,Real-Symmetric
Should the Federal Council's ability to restrict private and economic life in the event of a pandemic be more limited?,"Should housing construction regulations be relaxed (e.g., noise protection, occupancy rates)?",0.562376856569989,Real-Symmetric
"Are you in favor of further relaxing the protection regulations for large predators (lynx, wolf, bear)?","A popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses). Do you support this initiative?",0.5624189318412864,Real-Symmetric
"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). Should this limit be eliminated?",Should cannabis use be legalized? [BePart question],0.5624433065030557,Real-Symmetric
Should paid parental leave be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave? [BePart question],Should the federal government raise the requirements for the gymnasiale matura?,0.562522569839357,Real-Symmetric
Would you support the introduction of a national inheritance tax on all inheritances over one million Swiss francs? [BePart question],Should private households be free to choose their electricity supplier (complete liberalization of the electricity market)?,0.562533907398173,Real-Symmetric
"Do you support an increase in the retirement age (e.g., to 67)?",Should married couples be taxed separately (individual taxation)? [BePart question],0.56253962907007,Real-Symmetric
Do you think it's right for same-sex couples to have the same rights as heterosexual couples in all areas?,Should Switzerland strive for a comprehensive free trade agreement (including agriculture) with the USA?,0.562600762561128,Real-Symmetric
"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",Should Swiss companies be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards?,0.5626017160638321,Real-Symmetric
"Should the conditions for naturalization be relaxed (e.g., shorter residence period)?",Do you support tax cuts at the federal level over the next four years?,0.5626400667218663,Real-Symmetric
Should the federal government provide more financial support for public housing construction? [BePart question],Are you in favor of stricter controls on equal pay for women and men?,0.5626597707395141,Real-Symmetric
"Do you support stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses)?",Should Switzerland ban the registration of new passenger cars with internal combustion engines starting in 2035?,0.5627331780216103,Real-Symmetric
Should cannabis use be legalized? [BePart question],Do you think it's fair that environmental and landscape protection rules are being relaxed to allow for the development of renewable energy?,0.5627686600711707,Real-Symmetric
Should the federal government provide more financial support for public housing construction? [BePart question],Are you in favour of stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas)?,0.5628349578460453,Real-Symmetric
Should the federal government be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services)?,Should the federal government raise the requirements for the gymnasiale matura?,0.5628777401234997,Real-Symmetric
